Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2024-01-02 00:00:00-05:00,137.51098999214332,138.40423466169574,135.45650605006813,137.1338348388672,23711200,0.0,0.0,GOOGL
2024-01-03 00:00:00-05:00,136.22076003752528,138.58291722535583,136.05203668758926,137.87823486328125,24212100,0.0,0.0,GOOGL
2024-01-04 00:00:00-05:00,137.38199394368868,138.1164501749052,135.327524638977,135.36721801757812,27137700,0.0,0.0,GOOGL
2024-01-05 00:00:00-05:00,135.72449810296587,136.13142710669655,134.1364906048939,134.71214294433594,22513900,0.0,0.0,GOOGL
2024-01-08 00:00:00-05:00,135.26794767616852,137.96755146900708,135.23817385924744,137.798828125,21404000,0.0,0.0,GOOGL
2024-01-09 00:00:00-05:00,137.46139607476167,140.42897968026014,137.11401464787397,139.8930206298828,24759600,0.0,0.0,GOOGL
2024-01-10 00:00:00-05:00,139.94264312514758,141.92764515529154,139.85332166843838,141.21304321289062,21320200,0.0,0.0,GOOGL
2024-01-11 00:00:00-05:00,142.4139716480829,144.13099411000476,139.58533778589887,141.01454162597656,24008700,0.0,0.0,GOOGL
2024-01-12 00:00:00-05:00,141.6001002299109,142.12612449032548,140.75648355960536,141.5802459716797,18785500,0.0,0.0,GOOGL
2024-01-16 00:00:00-05:00,140.93513210487004,143.26751534885753,140.38925356432378,141.4214630126953,22670500,0.0,0.0,GOOGL
2024-01-17 00:00:00-05:00,140.2900233777166,140.77633917868644,137.85838379541343,140.40911865234375,20968600,0.0,0.0,GOOGL
2024-01-18 00:00:00-05:00,140.9847834391736,143.12858943697674,140.92523579662878,142.404052734375,25746400,0.0,0.0,GOOGL
2024-01-19 00:00:00-05:00,143.65460180395502,145.35177005215584,143.29730083417112,145.2823028564453,34271900,0.0,0.0,GOOGL
2024-01-22 00:00:00-05:00,145.99686379668998,147.27718307799336,144.7463031814511,144.8951873779297,32200400,0.0,0.0,GOOGL
2024-01-23 00:00:00-05:00,144.79597726482936,146.0762969530336,144.40890246194306,145.93734741210938,21636100,0.0,0.0,GOOGL
2024-01-24 00:00:00-05:00,147.42609610314366,148.72628517168496,146.98940837188923,147.58489990234375,25233500,0.0,0.0,GOOGL
2024-01-25 00:00:00-05:00,148.944605003714,151.90225320047952,148.4185656374429,150.73109436035156,29149100,0.0,0.0,GOOGL
2024-01-26 00:00:00-05:00,149.9668989175663,151.39608755777192,149.87756232275885,151.04872131347656,26115500,0.0,0.0,GOOGL
2024-01-29 00:00:00-05:00,150.919687123006,152.62678991300623,150.29440669865645,152.3588104248047,27784300,0.0,0.0,GOOGL
2024-01-30 00:00:00-05:00,151.65415115558076,152.46799407543287,150.05622398904708,150.32420349121094,36331800,0.0,0.0,GOOGL
2024-01-31 00:00:00-05:00,142.54295394505618,142.9201090790989,138.82107610445465,139.0493621826172,71910000,0.0,0.0,GOOGL
2024-02-01 00:00:00-05:00,141.05424824171908,141.98720167736062,139.7342199917544,140.10145568847656,40466500,0.0,0.0,GOOGL
